error_code,error_title,error_message,root_cause,solution
11,Message quota exceeded,Business tier limit reached,Exceeded monthly messaging limit,1. Upgrade tier or wait until quota resets
12,Too Many Requests,Exceeded API limits,Rate limits exceeded,"1. Respect WhatsApp rate limits. 

2. Implement queue."
13,Gateway Timeout,Request timed out,Request exceeded server timeout,"1. Retry request. 

2. Reduce payload size if large."
14,Internal Server Error,Backend issue or template sync problem,Temporary server failure or template sync issue,"1. Retry after few minutes. 

2. Check template sync."
15,Parameter type mismatch,Sending text when template expects URL/button/media,Mismatched component type,1. Match template components exactly.
16,Invalid phone format,Number format not correct,Phone number format incorrect,"1. Use full number with country code: 91XXXXXXXXXX (no +, no spaces)"
17,Unsupported message type,Trying to send unsupported type,Sending unsupported message type for template,"1. Use template type for templates, text type for text messages."
18,Bad Request,JSON invalid or missing fields,Payload malformed or missing required keys,"1. Validate JSON.

 2. Check type, template, text, etc."
19,Button or media missing,Template requires button or media but not provided,Missing required template components,1. Provide correct button/media object in JSON.
20,Template parameter mismatch,Number of parameters sent does not match template,Wrong number of dynamic components provided,"1. Check template components and parameters. 

2. Send exact count."
21,Template not approved,Template is still pending or rejected,Template not approved yet,Template to be approved
22,Template not found,Template does not exist in requested language,"Language mismatch, wrong WABA, or template not synced to number","1. Check template language. 

2. Ensure template synced to number."
23,Number not whitelisted,Recipient not approved for sandbox messaging,Number not added to sandbox or allowed recipients,Add number to allowed recipients list.
24,Number disconnected,Phone number is disconnected from Hub,Number was removed or inactive,1. Reconnect number in Hub.
25,Not Found,API key does not match the phone number or number not active,"Phone number not linked to API key, or number inactive","1. Check number status. 

2. Use correct API key."
26,Permission denied,API key doesn’t have permission to send messages,API key lacks required permissions or number not linked,"1. Ensure API key is linked to number. 

2. Confirm number is Active."
